ARR(%),SR,CR,SOR,MDD(%),VOL(%),Win Rate(%),Total Return(%),Ticker,a_th,SNR(dB),Noise(%),# Trades
21.771,1.103,1.838,1.251,-11.844,15.29,28.9,79.721,AAPL,4,7.9,13.8,34
27.25,1.359,2.314,1.597,-11.775,15.698,29.1,104.874,AAPL,8,7.9,13.9,36
32.184,1.597,2.733,1.929,-11.775,15.745,29.5,129.428,AAPL,12,7.9,13.9,36
34.535,1.697,4.14,2.108,-8.341,15.866,29.1,141.789,AAPL,16,7.9,14.0,32
34.251,1.657,4.031,1.945,-8.496,16.152,29.3,140.274,AAPL,24,7.8,14.2,28
25.359,1.247,1.866,1.437,-13.593,15.935,28.5,95.942,AAPL,32,7.7,14.6,26
36.09,1.319,2.372,1.675,-15.214,22.189,27.6,150.203,AMZN,4,10.7,7.8,36
36.94,1.346,2.428,1.714,-15.214,22.202,27.9,154.885,AMZN,8,10.7,7.8,36
40.77,1.447,2.68,1.881,-15.214,22.622,27.7,176.693,AMZN,12,10.7,7.9,36
38.074,1.368,2.502,1.751,-15.214,22.491,27.1,161.216,AMZN,16,10.6,8.0,36
41.902,1.487,2.887,1.87,-14.512,22.553,26.9,183.363,AMZN,24,10.5,8.2,30
43.555,1.495,2.904,1.79,-15.0,23.329,26.4,193.303,AMZN,32,10.3,8.6,26
37.743,1.355,1.601,1.461,-23.575,22.562,30.1,159.356,GOOGL,4,7.8,14.1,34
41.732,1.468,1.77,1.601,-23.575,22.824,30.4,182.355,GOOGL,8,7.8,14.2,34
49.278,1.708,3.005,1.885,-16.399,22.618,30.9,229.492,GOOGL,12,7.8,14.3,34
49.437,1.725,3.225,1.888,-15.328,22.436,30.5,230.535,GOOGL,16,7.7,14.4,32
39.986,1.437,2.366,1.539,-16.901,22.383,29.5,172.129,GOOGL,24,7.6,14.8,28
47.432,1.605,3.237,1.872,-14.651,23.392,29.3,217.512,GOOGL,32,7.3,15.6,24
21.926,1.03,1.428,1.157,-15.355,16.73,29.5,80.403,MSFT,4,8.1,13.4,36
21.382,1.002,1.392,1.133,-15.355,16.741,29.5,78.014,MSFT,8,8.1,13.4,36
23.869,1.119,1.873,1.264,-12.741,16.819,30.1,89.095,MSFT,12,8.1,13.4,34
23.151,1.1,1.817,1.218,-12.741,16.533,29.6,85.851,MSFT,16,8.1,13.5,32
26.035,1.243,2.043,1.41,-12.741,16.496,30.1,99.104,MSFT,24,8.0,13.6,30
25.643,1.233,1.444,1.386,-17.764,16.362,30.0,97.265,MSFT,32,7.9,13.9,30
107.911,1.876,3.472,2.393,-31.08,41.415,28.9,783.21,TSLA,4,5.2,23.0,36
111.144,1.897,4.049,2.411,-27.448,41.858,29.3,824.721,TSLA,8,5.2,23.1,36
125.957,2.036,4.988,2.638,-25.252,42.462,29.2,1031.476,TSLA,12,5.2,23.2,36
136.653,2.105,5.28,2.777,-25.882,43.445,29.5,1198.462,TSLA,16,5.2,23.4,36
109.414,1.888,3.206,2.377,-34.123,41.552,28.7,802.349,TSLA,24,5.0,23.9,28
127.295,2.075,4.152,2.616,-30.661,41.797,28.5,1051.536,TSLA,32,4.8,24.7,26
