Ticker,Strategy,ARR(%),SR,CR,SOR,MDD(%),VOL(%)
AAPL,FinAgent(원본),1.986,-0.067,0.139,-0.069,-14.323,14.53
AAPL,CWT-FinAgent(제안),26.244,1.583,3.214,1.749,-8.166,12.709
AMZN,FinAgent(원본),4.004,0.103,0.232,0.136,-17.257,21.461
AMZN,CWT-FinAgent(제안),37.667,1.475,5.161,2.068,-7.299,20.35
GOOGL,FinAgent(원본),-12.659,-0.73,-0.801,-0.599,-15.796,20.958
GOOGL,CWT-FinAgent(제안),29.782,1.324,4.473,1.688,-6.658,17.856
MSFT,FinAgent(원본),16.964,0.712,1.906,0.921,-8.9,18.87
MSFT,CWT-FinAgent(제안),18.256,0.826,2.131,1.031,-8.565,17.242
TSLA,FinAgent(원본),48.34,1.132,2.422,1.361,-19.961,37.497
TSLA,CWT-FinAgent(제안),80.093,1.79,6.221,2.477,-12.875,33.799
